epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3477,2.30529,3.7232,1.94942,0,0,0,0,nan,nan,nan,0.0707317,0.00325203,0.00325203
2,74.8258,2.15247,2.40908,1.85671,0,0,0,0,nan,nan,nan,0.0406665,0.00652017,0.00652017
3,106.767,2.00877,2.18588,1.6821,3e-05,0.00298,2e-05,0,2.24384,inf,10.2889,0.0105353,0.00972231,0.00972231
4,135.327,1.90002,2.04315,1.62928,0.23996,0.30479,0.13452,0.0666,1.89908,45.4382,1.7505,0.009703,0.009703,0.009703
5,166.662,1.85813,1.96596,1.63161,0.58338,0.25189,0.1786,0.08334,1.68119,10.9067,1.60568,0.009604,0.009604,0.009604
6,197.078,1.80531,1.84355,1.54494,0.47343,0.32755,0.27907,0.16196,1.51111,3.54057,1.45047,0.009505,0.009505,0.009505
7,227.64,1.79226,1.8639,1.5495,0.35712,0.37172,0.30608,0.14585,1.56622,2.39015,1.48672,0.009406,0.009406,0.009406
8,254.752,1.73767,1.77527,1.50961,0.48745,0.35433,0.30444,0.16138,1.50877,2.09166,1.42252,0.009307,0.009307,0.009307
9,282.36,1.70783,1.72066,1.49236,0.64684,0.29925,0.3431,0.19579,1.49707,1.99076,1.41769,0.009208,0.009208,0.009208
10,312.36,1.65337,1.65309,1.46072,0.54163,0.43284,0.4551,0.2327,1.63688,1.82862,1.53656,0.009109,0.009109,0.009109
11,343.347,1.66726,1.61812,1.45246,0.41768,0.43009,0.4249,0.23946,1.51909,1.60418,1.45369,0.00901,0.00901,0.00901
12,373.39,1.67609,1.64416,1.46902,0.45024,0.41199,0.34611,0.17973,1.4942,2.4391,1.42106,0.008911,0.008911,0.008911
13,400.99,1.61804,1.562,1.44251,0.39358,0.35842,0.31368,0.17633,1.56106,3.09907,1.43263,0.008812,0.008812,0.008812
14,429.031,1.61088,1.56058,1.43324,0.37579,0.36745,0.34343,0.20589,1.42799,1.89024,1.38046,0.008713,0.008713,0.008713
15,456.895,1.60615,1.53609,1.40308,0.76159,0.36874,0.40761,0.23139,1.49779,1.88464,1.43761,0.008614,0.008614,0.008614
16,484.516,1.58195,1.51875,1.39623,0.65915,0.40184,0.43328,0.24062,1.40536,1.65254,1.34927,0.008515,0.008515,0.008515
17,515.602,1.56057,1.46877,1.38022,0.69956,0.34709,0.43479,0.24522,1.43492,2.65074,1.38502,0.008416,0.008416,0.008416
18,546.103,1.58944,1.49169,1.37797,0.83708,0.33258,0.45462,0.25448,1.49817,1.92067,1.37197,0.008317,0.008317,0.008317
19,576.738,1.59371,1.49417,1.39975,0.48513,0.39941,0.44191,0.25718,1.45756,1.79533,1.36189,0.008218,0.008218,0.008218
20,607.615,1.58577,1.4861,1.39643,0.49092,0.42757,0.43497,0.2448,1.51548,1.63617,1.41908,0.008119,0.008119,0.008119
21,635.845,1.54444,1.41235,1.36135,0.76402,0.46137,0.50587,0.29905,1.44312,1.40312,1.36473,0.00802,0.00802,0.00802
22,667.696,1.52144,1.40325,1.36184,0.68812,0.46058,0.53989,0.31492,1.42408,1.51119,1.34943,0.007921,0.007921,0.007921
23,698.336,1.5345,1.33648,1.35791,0.69493,0.58655,0.58812,0.30352,1.50342,1.50709,1.38263,0.007822,0.007822,0.007822
24,727.186,1.48535,1.35409,1.35094,0.64269,0.55152,0.54694,0.30613,1.51161,1.64653,1.38791,0.007723,0.007723,0.007723
25,754.622,1.53459,1.39162,1.36615,0.42642,0.45776,0.46047,0.26267,1.50942,1.86537,1.39208,0.007624,0.007624,0.007624
26,783.133,1.49985,1.35766,1.33305,0.68726,0.56317,0.54605,0.33254,1.43596,1.4402,1.33646,0.007525,0.007525,0.007525
27,813.562,1.51329,1.34797,1.35277,0.67325,0.54635,0.58711,0.34902,1.4526,1.35721,1.3473,0.007426,0.007426,0.007426
28,844.486,1.44505,1.29374,1.29498,0.60739,0.50885,0.56411,0.30405,1.55186,1.68687,1.42389,0.007327,0.007327,0.007327
29,872.644,1.46056,1.2801,1.32002,0.59929,0.55416,0.59337,0.33964,1.4748,1.68598,1.34571,0.007228,0.007228,0.007228
30,901.726,1.43595,1.25143,1.2959,0.57267,0.58748,0.53789,0.29068,1.40908,1.89734,1.33676,0.007129,0.007129,0.007129
31,929.592,1.45476,1.31433,1.29679,0.68228,0.62185,0.62661,0.35956,1.41069,1.37428,1.32282,0.00703,0.00703,0.00703
32,960.803,1.46207,1.25381,1.29721,0.70906,0.54175,0.61389,0.35482,1.41832,1.28747,1.3513,0.006931,0.006931,0.006931
33,989.302,1.45071,1.28069,1.31625,0.58261,0.59709,0.60382,0.35096,1.37589,1.23328,1.30467,0.006832,0.006832,0.006832
34,1017.96,1.41907,1.19241,1.2613,0.63866,0.50799,0.54262,0.32413,1.36548,1.36321,1.28818,0.006733,0.006733,0.006733
